ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
BMG677491539,ORIENT OVERSEAS (INTL.),,,,,,14.07,11.06,12.55,38.45,33.74,31.18,34.86,37.17,38.43,37.99,57.83,62.19,62.37,63.8,63.79,62.62,63.5,66.65,62.53
BMG684371393,PACIFIC BASIN SHIP.,,,,,,,,,31.91,27.42,24.12,33.88,37.35,30.78,36.1,38.16,45.94,48.64,52.02,52.47,58.81,62.33,58.96,55.16
BMG7496G1033,RENAISSANCERE HDG.,,,,,,42.46,40.74,33.44,47.05,42.24,46.12,41.22,42.7,42.04,42.6,35.48,39.9,37.61,38.04,38.55,37.66,42.17,38.94,36.86
BMG7997W1029,SEADRILL,,,,,,,3.44,7.5,9.21,14.2,11.24,12.15,11.05,9.36,9.81,13.06,13.25,13.15,12.91,23.82,23.41,27.31,36.92,
BMG8063F1068,SHANGRI-LA ASIA,,,,,,11.06,17.82,24.08,28.86,33.46,27.79,41.87,37.74,57.45,54.93,55.46,58.79,61.22,64.14,68.52,71.66,72.23,71.15,67.15
BMG812761002,SIGNET JEWELERS,,,,49.1,34.49,49.07,37.34,37.74,56.95,60.28,54.96,65.42,60.76,59.41,61.63,60.64,64.22,64.48,66.58,72.94,71.9,69.59,67.36,65.95
BMG850801025,STOLT-NIELSEN,,,,20.93,16.53,24.29,22.22,30.2,23.81,18.96,14.3,22.27,19.43,16.75,15.14,16.02,19.11,20.91,23.46,29.26,56.13,58.56,50.25,41.08
BMG9618E1075,WHITE MOUNTAINS IN.GP.,,,,,,,,,31.58,27.54,26.88,27.02,26.54,26.05,26.2,29.25,30.32,23.53,28.71,37.59,37.7,43.56,46.62,39.21
BMG988031446,YUE YUEN INDL.HDG.,,,,,,15.45,26.24,23.25,11.68,20.71,20.2,22.4,21.15,18.74,18.7,24.31,33.22,34.42,34.56,41.41,49.72,52.42,53.76,49.69
BRBBDCACNPR8,BANCO BRADESCO PN,,,,,,,,,61.38,79.12,70.55,77.04,75.68,72.7,73.3,72.71,71.84,83.22,78.44,79.68,79.02,80.91,78.0,75.37
BRCMIGACNPR3,CIA ENERGETICA DE MINAS GERAIS PN,,,,,,,,,65.0,61.79,61.29,58.33,55.6,70.28,72.64,68.6,66.78,68.06,70.77,72.07,77.33,74.34,71.61,70.1
BRITUBACNPR1,ITAU UNIBANCO HOLDING PN,,,,,,,,,62.11,85.36,82.63,85.28,82.7,82.66,83.1,82.99,84.19,88.99,88.51,89.13,88.22,89.48,87.05,87.95
