ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AU000000ANN9,ANSELL,1429.61,914.08,629.95,1025.85,1187.9,1744.12,2049.68,2283.32,2780.72,2343.53,2716.68,3678.2,4317.79,4719.73,5598.8,5698.97,4930.46,5827.29,6343.64,5299.03,7142.22,9593.98,8388.06,7251.78
AU000000ANZ3,ANZ GROUP HOLDINGS,3542.11,4094.53,4877.36,5455.03,8176.88,10429.62,11904.95,15730.49,17840.52,8479.37,17581.64,21442.23,20063.25,26335.3,30785.04,29591.22,24277.07,28183.31,30348.08,24648.6,26319.39,28346.47,33526.45,28727.7
AU000000ASX7,ASX,186.67,179.06,152.53,174.94,369.62,483.35,750.51,997.61,1828.16,840.01,1202.42,1557.63,1337.46,1463.46,1582.75,1518.17,1634.27,1989.62,2464.25,2510.38,3428.68,3561.18,4459.02,3138.99
AU000000BEN6,BENDIGO & ADELAIDE BANK,151.86,142.94,198.76,233.84,367.92,449.04,511.72,678.58,832.14,521.98,646.89,795.05,684.9,791.18,1000.26,1051.72,920.96,1048.79,1101.28,975.34,944.66,1027.59,996.79,1062.93
AU000000BHP4,BHP GROUP,2856.9,2388.65,2581.94,2994.49,4933.53,6631.51,9367.05,11378.59,20426.59,12547.41,23655.67,29055.51,22638.66,25495.77,23264.68,17090.59,10440.84,15307.22,20193.51,21963.2,26191.9,33156.1,32620.65,41824.76
AU000000BOQ8,BANK OF QLND.,286.79,297.66,324.63,388.97,779.59,945.08,1224.53,1437.57,1898.08,886.84,1436.78,1550.03,1160.53,1314.42,1983.64,1944.9,2088.13,1891.53,2330.92,1717.29,1382.41,1783.44,1875.72,1580.66
AU000000BPT9,BEACH ENERGY,8.36,11.04,12.6,12.75,17.73,24.24,52.14,88.25,101.81,52.62,66.47,72.97,106.01,132.21,112.09,76.96,33.01,58.41,95.98,94.52,177.85,142.22,94.91,113.46
AU000000BWP3,BWP TRUST,65.64,61.83,76.47,96.27,157.67,210.16,224.33,283.95,362.57,218.01,353.72,403.48,430.0,585.56,546.57,675.28,715.57,709.15,839.05,911.77,1059.93,1375.61,1272.28,1170.25
AU000000CBA7,COMMONWEALTH BK.OF AUS.,452.17,474.7,443.38,460.72,711.12,855.97,1125.62,1471.84,2055.4,848.28,2210.72,2468.11,2549.08,3470.43,3942.91,4179.21,3922.58,3979.97,4414.2,3791.59,4425.61,5176.65,6227.53,6132.07
AU000000CGF5,CHALLENGER,117.05,98.02,61.22,63.98,109.95,139.06,180.68,201.56,277.2,91.24,271.15,354.98,322.66,294.5,464.57,465.53,582.11,785.36,1099.99,699.2,636.42,591.88,590.52,673.36
