ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
GB00BK7YQK64,HAMMERSON,,,,67.41,67.41,68.64,69.08,52.99,38.6,53.05,46.99,44.17,45.34,58.4,61.04,66.67,70.0,69.84,66.01,79.88,78.58,79.01,78.01,73.59
GB00BK9RKT01,TRAVIS PERKINS,,,,30.12,14.52,35.81,43.27,8.62,26.59,25.83,41.56,44.56,76.49,73.28,55.94,33.27,53.49,48.08,39.41,39.76,38.79,41.45,40.09,35.26
GB00BKP36R26,HYVE GROUP DEAD - DELIST.23/05/23,,,,,,17.3,18.05,11.93,2.66,3.51,11.06,12.11,25.67,18.29,24.68,26.25,23.1,26.4,26.35,24.32,38.97,39.31,40.67,35.62
GB00BKY40Q38,GALLIFORD TRY,,,,,,25.12,13.76,23.63,25.73,23.44,21.61,29.6,34.2,29.54,30.25,39.96,52.54,51.83,61.53,73.25,67.26,70.0,67.82,67.94
GB00BL6XZ716,CAPITAL & REGIONAL,,,,,,42.41,26.89,39.09,32.88,31.12,46.88,36.39,50.89,47.54,46.65,25.15,26.91,25.49,23.49,24.39,30.44,33.83,52.2,
GB00BLGZ9862,TESCO,,,,77.66,85.56,75.81,93.08,85.49,69.28,71.4,74.56,84.17,84.9,86.17,82.0,85.43,89.85,87.61,82.77,83.24,85.49,85.52,88.36,83.88
GB00BLJNXL82,BERKELEY GROUP HOLDINGS (THE),,,,37.17,33.87,30.38,29.14,29.2,37.65,39.6,53.3,67.44,71.23,71.86,77.92,55.17,48.78,55.91,54.72,61.65,59.85,58.15,58.81,42.37
GB00BM8PJY71,NATWEST GROUP,,,,49.75,52.62,56.48,79.47,73.02,69.53,70.35,71.13,79.81,78.6,83.35,80.77,75.32,75.2,83.43,88.33,89.45,89.47,88.64,79.19,76.41
GB00BMJ6DW54,INFORMA,,,,,,20.9,26.18,28.91,33.08,37.56,35.79,43.07,35.19,44.48,52.44,59.91,70.43,65.91,70.01,68.32,66.17,65.11,69.5,60.0
GB00BMXNWH07,NOBLE CORPORATION,,,,33.28,40.16,40.99,48.42,47.58,43.82,46.07,40.59,38.04,24.16,26.0,10.41,6.08,22.68,14.44,16.24,34.98,31.47,27.42,,
GB00BN7SWP63,GLAXOSMITHKLINE,,,,63.21,66.91,70.91,73.27,65.32,72.48,85.89,83.42,87.42,86.04,85.32,83.56,82.15,86.54,93.78,94.98,94.71,96.91,96.75,96.67,97.35
GB00BNGDN821,MELROSE INDUSTRIES,,,,,,,13.92,4.12,6.51,10.83,8.65,7.55,18.4,22.28,24.93,19.55,22.5,30.88,59.08,60.76,54.63,72.32,77.24,74.78
GB00BNNTLN49,PENNON GROUP,,,,,,25.51,30.65,23.74,13.74,16.73,22.73,26.99,25.43,26.22,32.49,34.58,36.15,45.35,74.41,73.91,71.32,65.96,76.48,67.04
GB00BNR4T868,RENEWI,,,,,,16.79,6.77,12.74,38.56,46.76,53.59,48.72,63.51,62.38,63.04,57.34,51.2,65.7,52.53,52.12,75.16,73.65,70.03,71.88
GB00BP6MXD84,SHELL,,,,58.25,44.08,68.83,67.87,73.8,71.93,68.99,69.23,78.16,76.07,71.08,76.79,78.35,84.59,82.38,79.5,79.76,79.24,95.43,92.53,93.77
GB00BP92CJ43,TATE & LYLE,,,,50.32,42.37,33.0,31.11,33.22,27.1,26.26,52.65,43.66,46.61,51.22,53.2,59.13,65.6,62.04,62.03,62.78,57.51,62.54,61.72,60.93
GB00BP9LHF23,SCHRODERS,,,,37.87,19.37,51.14,28.9,36.08,41.1,45.37,48.01,49.92,46.11,44.39,45.87,44.91,49.84,48.18,54.59,54.14,55.18,66.73,61.52,60.51
