Company,ISIN,GICSSectorName,Country,Region
Methanex Corporation,CA59151K1084,Materials,CANADA,AMER
Metro Inc.,CA59162N1096,Consumer Staples,CANADA,AMER
National Bank of Canada,CA6330671034,Financials,CANADA,AMER
Obsidian Energy Ltd.,CA6744822033,Energy,CANADA,AMER
Onex Corporation,CA68272K1030,Financials,CANADA,AMER
Open Text Corporation,CA6837151068,Information Technology,CANADA,AMER
Pan American Silver Corp.,CA6979001089,Materials,CANADA,AMER
Power Corporation of Canada,CA7392391016,Financials,CANADA,AMER
Precision Drilling Corporation,CA74022D4075,Energy,CANADA,AMER
"RB Global, Inc.",CA74935Q1072,Industrials,CANADA,AMER
RioCan Real Estate Investment Trust,CA7669101031,Real Estate,CANADA,AMER
Rogers Communications Inc.,CA7751092007,Communication Services,CANADA,AMER
Royal Bank of Canada,CA7800871021,Financials,CANADA,AMER
SNC-Lavalin Group Inc.,CA78460T1057,Industrials,CANADA,AMER
Saputo Inc.,CA8029121057,Consumer Staples,CANADA,AMER
Shaw Communications Inc.,CA82028K2002,Consumer Discretionary,CANADA,AMER
Sherritt International Corporation,CA8239011031,Materials,CANADA,AMER
Stantec Inc.,CA85472N1096,Industrials,CANADA,AMER
Suncor Energy Inc.,CA8672241079,Energy,CANADA,AMER
SunOpta Inc.,CA8676EP1086,Consumer Staples,CANADA,AMER
TC Energy Corporation,CA87807B1076,Information Technology,CANADA,AMER
Teck Resources Limited,CA8787422044,Materials,CANADA,AMER
TELUS Corporation,CA87971M1032,Communication Services,CANADA,AMER
The Toronto-Dominion Bank,CA8911605092,Financials,CANADA,AMER
TransAlta Corporation,CA89346D1078,Utilities,CANADA,AMER
Trican Well Service Ltd.,CA8959451037,Health Care,CANADA,AMER
George Weston Limited,CA9611485090,Consumer Staples,CANADA,AMER
Yamana Gold Inc.,CA98462Y1007,Materials,CANADA,AMER
OC Oerlikon Corporation AG,CH0000816824,Information Technology,SWITZERLAND,EUR
Swisscom AG,CH0008742519,Communication Services,SWITZERLAND,EUR
Lindt & Sprungli AG Br,CH0010570759,Consumer Staples,SWITZERLAND,EUR
Zurich Insurance Group AG,CH0011075394,Financials,SWITZERLAND,EUR
Novartis AG,CH0012005267,Health Care,SWITZERLAND,EUR
Roche Holding AG,CH0012032048,Health Care,SWITZERLAND,EUR
Credit Suisse Group AG,CH0012138530,Financials,SWITZERLAND,EUR
Adecco Group AG,CH0012138605,Industrials,SWITZERLAND,EUR
Clariant AG,CH0012142631,Materials,SWITZERLAND,EUR
Holcim Ltd,CH0012214059,Materials,SWITZERLAND,EUR
