ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AU000000BEN6,BENDIGO & ADELAIDE BANK,222.81,246.59,464.6,540.01,860.58,1067.57,1161.55,1506.7,3335.24,2235.63,3099.0,3647.11,3157.79,3550.25,4309.69,4727.12,3971.23,4349.75,4400.63,3702.15,3388.02,3820.98,3710.4,3775.12
AU000000BHP4,BHP GROUP,22758.52,18769.61,19897.1,21227.92,34481.37,43083.16,59911.52,69710.19,118285.73,71224.48,130146.74,155665.75,113331.92,123704.5,109157.05,77193.05,41733.52,58279.39,74279.35,70988.46,80595.3,96451.11,89016.04,156756.34
AU000000BOQ8,BANK OF QLND.,193.85,191.61,209.6,266.9,642.3,858.23,1107.37,1371.38,2261.62,1094.45,2209.3,2365.12,1720.66,2387.49,3509.15,3657.91,3811.37,3329.1,3905.8,2743.72,2252.62,2720.41,3779.79,3053.12
AU000000BPT9,BEACH ENERGY,9.11,18.03,31.03,35.04,74.36,99.94,331.4,1023.6,1171.1,691.99,894.12,974.46,1408.18,1941.68,1635.44,1109.59,464.48,1147.95,2216.44,2157.22,4024.29,3177.53,2089.88,2467.6
AU000000BWP3,BWP TRUST,88.1,101.18,132.12,175.98,331.44,430.06,431.18,513.2,619.35,351.46,692.91,774.53,916.96,1196.7,1228.78,1460.62,1476.91,1390.81,1552.52,1596.39,1770.14,2190.99,1938.23,1703.32
AU000000CBA7,COMMONWEALTH BK.OF AUS.,15484.87,21756.53,19198.14,19059.03,27981.61,32054.97,40408.79,50311.07,68168.58,29642.97,75682.23,80606.0,79791.83,103880.45,112195.26,113641.44,106258.06,102828.11,110136.41,90215.53,99427.25,112407.95,125303.17,117476.57
AU000000CGF5,CHALLENGER,200.19,167.16,181.17,196.33,891.28,1213.74,1598.08,1789.65,2630.56,790.64,2051.45,2418.29,2339.38,2001.71,2944.58,3044.53,3620.2,4652.81,6700.18,4083.28,3480.15,3357.44,3219.67,3534.14
AU000000COH5,COCHLEAR,677.11,1053.31,1222.77,1164.89,875.74,1074.58,1838.69,2510.86,3658.12,2162.08,3500.42,4670.89,3616.85,4683.09,3007.87,3629.6,3976.64,5095.99,7707.0,7052.39,9135.66,9587.98,10335.17,9105.71
AU000000CPU5,COMPUTERSHARE,2611.82,2585.36,1485.62,569.51,1371.38,2504.8,2974.11,4208.78,4820.41,3021.7,5721.79,6140.06,4563.03,5186.21,5662.71,5371.01,4645.54,4929.14,6923.61,6570.69,6379.97,6089.47,8778.77,10726.75
AU000000CQR9,CHARTER HALL RETAIL REIT,256.48,220.29,223.01,434.57,681.33,1101.89,1735.19,2071.31,1934.61,202.94,783.21,921.6,982.97,1304.19,1165.54,1257.25,1219.8,1244.14,1313.67,1269.39,1328.34,1616.9,1791.37,1509.63
AU000000CSL8,CSL,1886.77,3247.76,4177.73,1935.28,2537.79,4538.68,5670.91,9409.23,17569.26,14167.64,17060.59,20312.89,17055.85,27909.71,29901.84,33660.34,35469.25,33152.24,49983.28,59043.93,87981.28,99419.82,101191.42,94101.6
